geoareaname,timeperiod,value
World,2015,"251,453,655,586.83"
China,2015,"198,509,605,556.31"
Asia,2015,"162,475,060,290.86"
Eastern and South-Eastern Asia,2015,"120,072,712,529.39"
Eastern Asia,2015,"105,239,473,418.4"
Europe and Northern America,2015,"50,774,337,370.43"
India,2015,"42,074,345,091.15"
Americas,2015,"40,097,274,631.14"
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",2015,"39,017,241,888.5"
United States of America,2015,"37,096,605,671.6"
Central and Southern Asia,2015,"31,700,519,007.8"
Europe,2015,"29,273,338,718.47"
Southern Asia,2015,"29,014,484,092.03"
Northern America,2015,"21,500,998,705.64"
Latin America and the Caribbean,2015,"18,596,245,114.73"
Africa,2015,"16,529,601,699.49"
Northern Africa and Western Asia,2015,"15,593,190,322"
Brazil,2015,"14,940,440,447.5"
South-Eastern Asia,2015,"14,632,058,679.32"
South America,2015,"14,570,460,787"
Russian Federation,2015,"13,478,961,990.41"
Eastern Europe,2015,"13,256,060,191.19"
Sub-Saharan Africa,2015,"11,339,988,572.14"
Western Asia,2015,"10,801,157,140.45"
Indonesia,2015,"10,015,652,540.75"
Least Developed Countries (LDCs),2015,"9,109,895,126.9"
Turkey,2015,"8,342,330,691.05"
Western Europe,2015,"8,205,215,644.08"
Landlocked developing countries (LLDCs),2015,"7,547,464,194.05"
Germany,2015,"7,401,347,542.13"
Japan,2015,"7,284,842,974.86"
Iran (Islamic Republic of),2015,"6,717,617,668.34"
Canada,2015,"6,011,423,619"
Viet Nam,2015,"5,691,782,450.52"
Mexico,2015,"5,535,257,172.28"
Thailand,2015,"5,083,252,714.79"
Pakistan,2015,"5,050,107,417.4"
Northern Africa,2015,"5,001,331,740.41"
Australia,2015,"4,870,936,458.61"
France,2015,"4,774,640,708.84"
Saudi Arabia,2015,"4,584,280,819.57"
Egypt,2015,"4,230,554,270.41"
Western Africa,2015,"4,189,204,228.85"
Southern Europe,2015,"4,080,044,353.53"
Poland,2015,"3,997,107,329.56"
Nigeria,2015,"3,761,042,389.34"
Northern Europe,2015,"3,732,018,648.81"
South Africa,2015,"3,691,860,606.91"
Eastern Africa,2015,"3,623,120,105"
Republic of Korea,2015,"3,613,254,821.74"
Central America,2015,"3,484,373,856.01"
United Kingdom of Great Britain and Northern Ireland,2015,"3,317,266,647.43"
Ukraine,2015,"3,227,419,044.51"
Chile,2015,"3,210,455,917.5"
Oceania,2015,"3,031,599,457.71"
Malaysia,2015,"2,957,386,960.07"
Kazakhstan,2015,"2,792,043,776.03"
Italy,2015,"2,772,571,772.07"
Australia and New Zealand,2015,"2,765,199,993.46"
Argentina,2015,"2,757,896,576.14"
Central Asia,2015,"2,600,497,743.49"
Bangladesh,2015,"2,477,464,635.83"
Spain,2015,"2,471,227,237.21"
Philippines,2015,"2,382,895,151.99"
Southern Africa,2015,"2,222,288,295.84"
Peru,2015,"2,148,496,916.75"
Algeria,2015,"2,090,186,078.35"
Ethiopia,2015,"1,763,058,911.45"
Colombia,2015,"1,602,015,390.19"
Uzbekistan,2015,"1,589,923,233.34"
Morocco,2015,"1,579,305,091.25"
Small island developing States (SIDS),2015,"1,509,910,051.11"
Netherlands,2015,"1,498,285,337.26"
Middle Africa,2015,"1,447,171,372.16"
Romania,2015,"1,385,635,395.22"
Iraq,2015,"1,362,014,994.73"
United Arab Emirates,2015,"1,306,488,975.82"
Venezuela (Bolivarian Republic of),2015,"1,218,881,000.88"
Belgium,2015,"1,130,768,529.46"
Singapore,2015,"1,127,758,626.84"
Syrian Arab Republic,2015,"1,095,590,992.69"
Czechia,2015,"1,094,697,566.14"
Hungary,2015,"1,070,902,982.97"
Ghana,2015,"1,070,862,472.43"
Sudan,2015,"1,066,839,332.19"
Myanmar,2015,"1,049,595,131.53"
United Republic of Tanzania,2015,"1,011,825,264.35"
Democratic Republic of the Congo,2015,"1,001,433,955.25"
Sweden,2015,"975,961,961.54"
Belarus,2015,"963,556,013.07"
Kenya,2015,"906,789,548.77"
Austria,2015,"829,128,805.83"
Oman,2015,"808,537,239.05"
Angola,2015,"807,738,109.03"
Finland,2015,"804,184,365.63"
Greece,2015,"782,041,156.6"
Bulgaria,2015,"774,545,657.86"
Ecuador,2015,"760,896,519.55"
Qatar,2015,"711,358,141.4"
Norway,2015,"710,955,911.83"
Uganda,2015,"710,392,895.95"
Kuwait,2015,"700,099,760.43"
Uruguay,2015,"678,484,302.96"
Switzerland,2015,"677,978,824.79"
New Zealand,2015,"673,890,740.6"
Israel,2015,"646,350,431.22"
Nepal,2015,"635,369,083.21"
Zambia,2015,"630,927,381.72"
Tunisia,2015,"626,765,530.6"
Sri Lanka,2015,"614,501,607.7"
Bolivia (Plurinational State of),2015,"596,534,135.79"
Serbia,2015,"589,172,946.38"
Democratic People's Republic of Korea,2015,"578,349,413.01"
Mali,2015,"576,581,221.22"
Denmark,2015,"573,725,154.58"
Portugal,2015,"568,087,237.51"
Cameroon,2015,"562,563,871.74"
Turkmenistan,2015,"535,847,825.76"
Azerbaijan,2015,"493,658,839.28"
Mongolia,2015,"492,893,993.5"
Papua New Guinea,2015,"489,343,565.61"
Guatemala,2015,"476,899,139.05"
Cambodia,2015,"455,183,321.68"
Burkina Faso,2015,"438,834,094.94"
Cuba,2015,"413,317,964.45"
Niger,2015,"411,323,114.45"
Côte d'Ivoire,2015,"410,324,207.78"
Libya,2015,"409,013,175.6"
Mozambique,2015,"405,517,266.98"
Jordan,2015,"402,360,957.51"
Afghanistan,2015,"390,636,658.24"
Ireland,2015,"387,701,436.98"
Botswana,2015,"381,991,914.97"
Lao People's Democratic Republic,2015,"365,989,079.16"
Yemen,2015,"361,380,310.26"
Lebanon,2015,"354,140,845.01"
Madagascar,2015,"348,366,215.62"
Malawi,2015,"345,566,965.45"
Slovakia,2015,"342,532,208.41"
Benin,2015,"321,244,701.76"
Dominican Republic,2015,"311,583,677.17"
Zimbabwe,2015,"307,621,973"
Paraguay,2015,"307,393,181.78"
Senegal,2015,"292,121,052.69"
Kyrgyzstan,2015,"288,673,175.85"
Sierra Leone,2015,"285,995,541.01"
Guinea,2015,"268,963,593.03"
Estonia,2015,"262,891,586.78"
Lithuania,2015,"256,982,388.24"
Bahrain,2015,"236,440,374.13"
Somalia,2015,"229,463,423.27"
Bosnia and Herzegovina,2015,"227,340,607.61"
Chad,2015,"217,934,278.13"
Costa Rica,2015,"215,975,525.62"
Honduras,2015,"213,553,327.04"
Rwanda,2015,"197,613,484.2"
Latvia,2015,"192,667,703.45"
Nicaragua,2015,"189,073,535.95"
Togo,2015,"176,790,096.98"
Republic of Moldova,2015,"176,762,171.6"
Croatia,2015,"174,754,808.55"
Mauritania,2015,"174,250,271.24"
Slovenia,2015,"174,156,134.06"
Albania,2015,"166,854,973.93"
Tajikistan,2015,"165,581,905.58"
The former Yugoslav Republic of Macedonia,2015,"162,752,499.14"
Panama,2015,"161,410,589.78"
El Salvador,2015,"157,155,457.43"
Armenia,2015,"155,217,578.16"
Trinidad and Tobago,2015,"154,231,560.8"
Lesotho,2015,"151,479,387.97"
Georgia,2015,"149,436,800.21"
Namibia,2015,"143,411,223.49"
Equatorial Guinea,2015,"134,058,085.04"
Burundi,2015,"110,538,218.21"
Congo,2015,"105,770,344.07"
Jamaica,2015,"105,751,632.42"
Luxembourg,2015,"98,281,457.91"
Eritrea,2015,"97,714,489.4"
Liberia,2015,"97,520,107.77"
Central African Republic,2015,"90,938,244.94"
Mauritius,2015,"89,268,469.62"
Guyana,2015,"83,016,882.07"
Haiti,2015,"80,699,467.61"
Eswatini,2015,"75,833,441.61"
Cyprus,2015,"73,783,249.63"
Gabon,2015,"61,080,551.08"
South Sudan,2015,"59,288,540.66"
Brunei Darussalam,2015,"59,247,821.18"
Timor-Leste,2015,"58,850,071.96"
Bhutan,2015,"52,594,069.13"
Malta,2015,"40,855,491.68"
Guinea-Bissau,2015,"40,666,196.79"
Suriname,2015,"37,211,164.31"
Fiji,2015,"34,138,007.27"
Montenegro,2015,"30,012,119.27"
Gambia,2015,"29,543,616.39"
Solomon Islands,2015,"23,513,296.41"
Cabo Verde,2015,"20,990,352.76"
Iceland,2015,"20,932,090"
Belize,2015,"19,480,229.57"
Maldives,2015,"16,332,008.9"
Djibouti,2015,"15,636,437.01"
Comoros,2015,"15,060,794.77"
Tonga,2015,"9,706,293.39"
Vanuatu,2015,"9,564,649.5"
Bahamas,2015,"8,328,273.14"
Samoa,2015,"5,950,070.16"
Barbados,2015,"4,484,485.91"
Kiribati,2015,"3,989,076.6"
Sao Tome and Principe,2015,"3,848,329.74"
Micronesia,2015,"2,071,640.52"
Dominica,2015,"1,861,543.43"
Antigua and Barbuda,2015,"1,783,054.8"
Micronesia (Federated States of),2015,"1,423,117.89"
Seychelles,2015,"1,418,759.07"
Marshall Islands,2015,"580,614.57"
Grenada,2015,"517,743.71"
Palau,2015,"147,408.61"
Tuvalu,2015,"68,458.67"
