geoareaname,value
Estonia,null
Australia and New Zealand,null
Madagascar,42.3
Solomon Islands,13.9
Western Asia,9.6
Burkina Faso,20.2
Croatia,null
Northern Africa,8.3
Turkey,null
United Republic of Tanzania,32.3
Cuba,null
Germany,null
Guatemala,15.6
Slovakia,3.1
Eastern Africa,32
Kiribati,3.3
Namibia,28.8
Oceania,6.4
Saint Lucia,17
Spain,null
Uganda,39
Cambodia,15.3
Central Asia,8.3
Kuwait,null
Togo,11.5
China,9.6
Kenya,19.1
New Zealand,null
Kyrgyzstan,6.4
Northern America,null
Bolivia (Plurinational State of),20.2
Democratic People's Republic of Korea,40.8
Kazakhstan,null
Northern Africa (exc. Sudan),4.5
Viet Nam,10.7
Bermuda,12.8
Bosnia and Herzegovina,null
Canada,null
Eastern Asia (excluding Japan),9.8
Haiti,46.8
Paraguay,12
Colombia,7.1
Algeria,4.6
Chad,32.5
Djibouti,12.8
Guinea,17.5
Landlocked developing countries (LLDCs),23.2
Luxembourg,null
French Polynesia,4.9
Poland,null
The former Yugoslav Republic of Macedonia,3.9
Albania,4.9
Chile,3.7
Denmark,null
Sierra Leone,30.9
Europe,null
Caucasus and Central Asia,7.2
Vanuatu,6.9
Least Developed Countries (LDCs),24.4
Southern Asia,14.9
"China, Hong Kong Special Administrative Region",null
Latvia,null
Romania,null
Sudan,25.6
Western Africa,10.6
World,10.7
Northern Africa and Western Asia,9
Nepal,8.1
Azerbaijan,null
Brazil,null
Republic of Moldova,8.5
Southern Africa,7
Western Europe,null
Belize,6.2
Honduras,14.8
Hungary,null
Montenegro,null
Mozambique,26.6
Netherlands,null
Uruguay,null
Pakistan,19.9
Guinea-Bissau,28.3
Nigeria,7.9
Bahamas,10
Benin,10.3
France,null
Georgia,7
Italy,null
Malaysia,null
Polynesia,4.2
Lithuania,null
Malawi,25.9
Mali,4
Afghanistan,23
Latin America and the Caribbean,6.4
Guyana,8.5
Serbia,5.6
Sweden,null
Europe and Northern America,null
Greece,null
Portugal,null
Russian Federation,null
Timor-Leste,26.9
United States of America,null
Ghana,7.6
Mauritania,5.3
Grenada,25.5
South America,5.1
Yemen,28.8
Ethiopia,28.8
Gambia,10.9
India,14.5
Switzerland,null
Trinidad and Tobago,4.8
Venezuela (Bolivarian Republic of),13
Caribbean,18.3
Samoa,3.2
Slovenia,null
Japan,null
Mexico,4.2
Armenia,4.4
Sub-Saharan Africa (inc. Sudan),21.5
United Arab Emirates,3.8
Costa Rica,5.6
South-Eastern Asia,10.2
Central and Southern Asia,14.7
Lebanon,5.4
New Caledonia,9.1
Niger,11.3
Zimbabwe,44.7
Argentina,3.6
Australia,null
Belarus,null
Dominica,5.8
Republic of Korea,null
Austria,null
Brunei Darussalam,null
Malta,null
South Africa,4.6
Tunisia,5
Americas,4.1
"China, Macao Special Administrative Region",6.3
Eastern Asia,9.2
Eswatini,19.6
Nicaragua,17
Saint Vincent and the Grenadines,6
Iraq,27.8
Philippines,13.8
Lao People's Democratic Republic,17.1
Sub-Saharan Africa,21.3
Angola,14
Bulgaria,3.4
Cabo Verde,13.7
Central African Republic,58.6
Ecuador,12.1
Northern Europe,null
Rwanda,41.1
Middle Africa,24.8
Southern Europe,null
Senegal,11.3
Mauritius,5.2
Suriname,7.9
Thailand,9.5
Antigua and Barbuda,26.7
Barbados,4.4
Côte d'Ivoire,15.4
Egypt,4.5
Fiji,4.6
Finland,null
Liberia,42.8
Sri Lanka,22.1
Eastern Europe,null
Iran (Islamic Republic of),5.5
United Kingdom of Great Britain and Northern Ireland,null
Sao Tome and Principe,13.5
Bangladesh,15.1
Iceland,null
Ukraine,null
Belgium,null
Cyprus,4.7
Eastern and South-Eastern Asia,9.5
Lesotho,14.5
Norway,null
Turkmenistan,5.5
El Salvador,12.3
Jamaica,8.4
Gabon,7
Zambia,45.9
Mongolia,19.6
Asia,11.7
Central America,6.7
Czechia,null
Maldives,8.5
Morocco,3.5
Panama,9.3
Tajikistan,30.1
Botswana,26
Cameroon,7.9
Congo,28.2
Indonesia,7.9
Small island developing States (SIDS),17.7
Israel,null
Myanmar,16.9
Oman,6.2
Saudi Arabia,4.4
Uzbekistan,6.3
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",10.4
Africa,18.9
Dominican Republic,13.5
Ireland,null
Jordan,4.2
Peru,7.9
