geoareaname,seriescode,age,timeperiod,value
World,SH_STA_OVRWGTN,<5Y,2015,112.1
Northern Africa,SH_STA_OVRWGT,<5Y,2015,35.3
Central Asia,SH_STA_OVRWGT,<5Y,2015,33.4
Western Asia,SH_STA_OVRWGT,<5Y,2015,29.1
Northern Africa and Western Asia,SH_STA_OVRWGT,<5Y,2015,27
Eastern and South-Eastern Asia,SH_STA_OVRWGTN,<5Y,2015,26.2
Oceania (exc. Australia and New Zealand),SH_STA_OVRWGT,<5Y,2015,25.8
South-Eastern Asia,SH_STA_OVRWGT,<5Y,2015,21.9
Latin America and the Caribbean,SH_STA_OVRWGT,<5Y,2015,21.7
India,SH_STA_WASTE,<5Y,2015,21
Sub-Saharan Africa,SH_STA_OVRWGTN,<5Y,2015,19.6
Central and Southern Asia,SH_STA_OVRWGTN,<5Y,2015,18.4
Eastern and South-Eastern Asia,SH_STA_OVRWGT,<5Y,2015,17.5
Southern Asia,SH_STA_OVRWGTN,<5Y,2015,17.4
World,SH_STA_OVRWGT,<5Y,2015,16.7
Eastern Asia,SH_STA_OVRWGT,<5Y,2015,16.3
Least Developed Countries (LDCs),SH_STA_OVRWGTN,<5Y,2015,16.1
Northern Africa and Western Asia,SH_STA_OVRWGTN,<5Y,2015,15
Mauritania,SH_STA_WASTE,<5Y,2015,14.8
Eastern Asia,SH_STA_OVRWGTN,<5Y,2015,14.8
Mali,SH_STA_WASTE,<5Y,2015,13.5
Chad,SH_STA_WASTE,<5Y,2015,13
South-Eastern Asia,SH_STA_OVRWGTN,<5Y,2015,12.6
Sub-Saharan Africa,SH_STA_OVRWGT,<5Y,2015,12.3
Latin America and the Caribbean,SH_STA_OVRWGTN,<5Y,2015,11.5
Least Developed Countries (LDCs),SH_STA_OVRWGT,<5Y,2015,11.3
Central and Southern Asia,SH_STA_OVRWGT,<5Y,2015,9.9
Northern Africa,SH_STA_OVRWGTN,<5Y,2015,9.9
Southern Asia,SH_STA_OVRWGT,<5Y,2015,9.8
Kazakhstan,SH_STA_OVRWGT,<5Y,2015,9.3
Congo,SH_STA_WASTE,<5Y,2015,8.2
Malaysia,SH_STA_WASTE,<5Y,2015,8
Western Asia,SH_STA_OVRWGTN,<5Y,2015,8
Solomon Islands,SH_STA_WASTE,<5Y,2015,7.9
Senegal,SH_STA_WASTE,<5Y,2015,7.8
Rwanda,SH_STA_OVRWGT,<5Y,2015,7.7
Belize,SH_STA_OVRWGT,<5Y,2015,7.3
Nigeria,SH_STA_WASTE,<5Y,2015,7.2
Philippines,SH_STA_WASTE,<5Y,2015,7.1
Malaysia,SH_STA_OVRWGT,<5Y,2015,7.1
Viet Nam,SH_STA_WASTE,<5Y,2015,6.4
Kuwait,SH_STA_OVRWGT,<5Y,2015,6
Congo,SH_STA_OVRWGT,<5Y,2015,5.9
Turkmenistan,SH_STA_OVRWGT,<5Y,2015,5.9
Zimbabwe,SH_STA_OVRWGT,<5Y,2015,5.6
Viet Nam,SH_STA_OVRWGT,<5Y,2015,5.3
Mexico,SH_STA_OVRWGT,<5Y,2015,5.2
Guatemala,SH_STA_OVRWGT,<5Y,2015,4.7
United Republic of Tanzania,SH_STA_WASTE,<5Y,2015,4.5
Malawi,SH_STA_OVRWGT,<5Y,2015,4.5
Turkmenistan,SH_STA_WASTE,<5Y,2015,4.2
Philippines,SH_STA_OVRWGT,<5Y,2015,3.9
Solomon Islands,SH_STA_OVRWGT,<5Y,2015,3.9
United Republic of Tanzania,SH_STA_OVRWGT,<5Y,2015,3.6
Zimbabwe,SH_STA_WASTE,<5Y,2015,3.2
Kazakhstan,SH_STA_WASTE,<5Y,2015,3.1
Kuwait,SH_STA_WASTE,<5Y,2015,3.1
Malawi,SH_STA_WASTE,<5Y,2015,2.7
Central Asia,SH_STA_OVRWGTN,<5Y,2015,2.6
Chad,SH_STA_OVRWGT,<5Y,2015,2.5
Rwanda,SH_STA_WASTE,<5Y,2015,2.2
India,SH_STA_OVRWGT,<5Y,2015,2.1
Mali,SH_STA_OVRWGT,<5Y,2015,1.9
Belize,SH_STA_WASTE,<5Y,2015,1.8
Nigeria,SH_STA_OVRWGT,<5Y,2015,1.6
Mauritania,SH_STA_OVRWGT,<5Y,2015,1.3
Mexico,SH_STA_WASTE,<5Y,2015,1
Senegal,SH_STA_OVRWGT,<5Y,2015,1
Peru,SH_STA_WASTE,<5Y,2015,0.8
Guatemala,SH_STA_WASTE,<5Y,2015,0.7
Oceania (exc. Australia and New Zealand),SH_STA_OVRWGTN,<5Y,2015,0.4
