geoareaname,value
Cuba,99.82
Iceland,99.78
France,99.76
Norway,99.73
Latvia,99.71
Lithuania,99.6
Netherlands,99.54
Poland,99.5
Switzerland,99.5
Israel,99.47
Peru,99.37
Argentina,99.37
Mexico,99.36
Belgium,99.18
Luxembourg,99.04
"China, Hong Kong Special Administrative Region",98.92
Viet Nam,98.74
Ecuador,98.74
Malaysia,98.6
Italy,98.45
Belarus,98.23
Liechtenstein,98.14
Sweden,98.14
United Kingdom of Great Britain and Northern Ireland,97.65
Suriname,97.64
Finland,97.56
Brunei Darussalam,97.56
Seychelles,97.42
Malta,97.16
Uruguay,96.88
Spain,96.79
Croatia,96.68
Jamaica,96.38
Tuvalu,96.28
Serbia,96.27
Antigua and Barbuda,96.13
Europe,96.13
Denmark,96.08
Portugal,95.92
Chile,95.72
Thailand,95.66
Republic of Moldova,95.5
Russian Federation,95.33
Mauritius,95.04
Barbados,94.81
Kazakhstan,94.64
Cyprus,94.59
Saint Lucia,94.45
Cook Islands,94.34
Slovenia,93.99
Greece,93.84
Hungary,93.76
Lebanon,93.56
Costa Rica,93.41
New Zealand,93.34
Maldives,93.27
Latin America and the Caribbean,93.09
Estonia,93.03
Europe and Northern America,93.03
Mongolia,93.02
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",92.81
Bulgaria,92.79
Brazil,92.68
Venezuela (Bolivarian Republic of),92.45
"China, Macao Special Administrative Region",92.3
British Virgin Islands,91.71
South-Eastern Asia,91.68
Ireland,91.41
Saint Vincent and the Grenadines,91.11
Japan,91.11
Qatar,90.84
Republic of Korea,90.81
Romania,90.52
Albania,89.49
Eastern Asia (excluding Japan and China),89.35
Australia and New Zealand,88.1
Eastern and South-Eastern Asia,87.98
Northern America,87.65
Australia,87.03
United States of America,86.76
Bolivia (Plurinational State of),86.11
Philippines,84.59
Liberia,84.25
Belize,84.1
El Salvador,83.67
Bahrain,82.32
Oceania,81.95
Oman,81.27
Small island developing States (SIDS),80.65
Nepal,80.47
Guatemala,80.26
Panama,78.88
Dominican Republic,78.15
Micronesia (Federated States of),76.42
Honduras,76.17
Cabo Verde,76.13
Dominica,70.77
Kyrgyzstan,69.48
World,69.45
Turkey,68.6
Developing regions,66.59
Montenegro,65.81
Solomon Islands,65.39
Marshall Islands,64.93
State of Palestine,64.68
Timor-Leste,59.26
Northern Africa,56.45
Niue,55.67
Northern Africa (exc. Sudan),55.6
Lao People's Democratic Republic,55.21
Puerto Rico,54.04
Sao Tome and Principe,54.01
Morocco,52.29
Cameroon,51.76
Northern Africa and Western Asia,50.83
Central Asia,48.89
Caucasus and Central Asia,47.17
Iran (Islamic Republic of),46.93
Western Asia,45.61
Least Developed Countries (LDCs),44.61
The former Yugoslav Republic of Macedonia,44.44
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",44.21
Equatorial Guinea,43.88
Mali,43.44
Landlocked developing countries (LLDCs),42.98
Sub-Saharan Africa (inc. Sudan),41.46
Sub-Saharan Africa,40.77
Lesotho,38.02
Ethiopia,38
Saudi Arabia,37.63
Sierra Leone,32.8
Uzbekistan,31.19
Samoa,30.46
Azerbaijan,27.61
South Sudan,18.89
Senegal,17.42
Eritrea,16.2
Tajikistan,11.2
Burkina Faso,9.41
Holy See,0
