geoareaname,value
World,"1,151.78"
Asia,348.36
Africa,197.44
South-Eastern Asia,177.97
Least Developed Countries (LDCs),173.78
Sub-Saharan Africa,130.93
Landlocked developing countries (LLDCs),121.73
Small island developing States (SIDS),89.95
Southern Asia,82.37
Southern Asia (excluding India),66.89
Northern Africa,66.51
Indonesia,65.85
Latin America and the Caribbean,64.53
Oceania,58.42
Eastern Africa,56.17
Europe,53.44
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",53.44
Western Asia,45.79
Viet Nam,44.75
Melanesia,43.02
South America,41.75
Eastern Europe,40.25
Western Africa,39.56
Eastern Asia,29.03
Papua New Guinea,27.54
Caucasus and Central Asia,21.95
Middle Africa,21.94
Morocco,20.41
Republic of Moldova,19.75
China,17.51
India,15.47
Central America,14.81
Algeria,14.61
Pakistan,14.45
Philippines,14.37
Brazil,14.31
Tunisia,14.27
Bangladesh,13.94
Egypt,13.55
Southern Africa,13.27
Central Asia,13.2
Southern Europe,13.19
Cambodia,13.17
Myanmar,12.4
Eastern Asia (excluding Japan and China),11.52
Polynesia,11.3
Lao People's Democratic Republic,11.2
Ukraine,10.65
Mongolia,10.64
Belarus,9.85
Sri Lanka,9.32
Turkey,9.28
Syrian Arab Republic,8.38
South Africa,8.3
Cameroon,8.28
Caribbean,7.97
Timor-Leste,7.97
Mexico,7.96
Kenya,7.93
United Republic of Tanzania,7.67
Colombia,7.26
Afghanistan,7.24
Ethiopia,7.01
Nepal,6.52
Ghana,6.42
Fiji,6.21
Solomon Islands,6.07
Bhutan,6.07
Samoa,5.95
Senegal,5.95
State of Palestine,5.88
Iran (Islamic Republic of),5.65
Uganda,5.63
Iraq,5.29
Nigeria,5.14
Serbia,5.12
Comoros,4.82
Thailand,4.65
Chile,4.27
Micronesia,4.1
Uzbekistan,4.07
Côte d'Ivoire,4.07
Jordan,4.04
Rwanda,3.87
Congo,3.85
Maldives,3.7
Argentina,3.68
Albania,3.67
Peru,3.65
Malaysia,3.59
Armenia,3.53
Haiti,3.48
Democratic Republic of the Congo,3.46
Mali,3.45
Georgia,3.43
Kyrgyzstan,3.35
Tonga,3.25
Zimbabwe,3.21
Vanuatu,3.2
Kiribati,3.02
Kazakhstan,2.95
Madagascar,2.89
Zambia,2.76
Mozambique,2.63
Lebanon,2.53
Sudan,2.49
Guinea,2.44
Ecuador,2.29
Bosnia and Herzegovina,2
Malawi,1.98
Tajikistan,1.97
Mauritius,1.97
Benin,1.94
Costa Rica,1.86
Angola,1.83
Azerbaijan,1.79
Botswana,1.78
The former Yugoslav Republic of Macedonia,1.71
Tuvalu,1.7
Togo,1.66
Yemen,1.65
Gabon,1.6
Cabo Verde,1.51
Uruguay,1.36
Venezuela (Bolivarian Republic of),1.35
Burkina Faso,1.32
Namibia,1.31
Niger,1.25
Chad,1.21
Mauritania,1.2
Libya,1.17
Bolivia (Plurinational State of),1.17
Jamaica,1.13
Cuba,1.13
Guatemala,1.09
Burundi,1.09
Central African Republic,1.07
Eswatini,1.04
Djibouti,1.01
Gambia,0.99
Panama,0.92
Paraguay,0.92
El Salvador,0.92
Liberia,0.92
Democratic People's Republic of Korea,0.88
Honduras,0.88
Seychelles,0.88
Sierra Leone,0.87
Turkmenistan,0.86
Guyana,0.85
Lesotho,0.83
Nicaragua,0.83
Dominican Republic,0.76
Montenegro,0.69
Nauru,0.68
Suriname,0.64
South Sudan,0.49
Sao Tome and Principe,0.48
Saint Lucia,0.46
Guinea-Bissau,0.44
Saint Vincent and the Grenadines,0.43
Belize,0.35
Somalia,0.29
Grenada,0.28
Cook Islands,0.24
Micronesia (Federated States of),0.19
Dominica,0.18
Equatorial Guinea,0.17
Niue,0.14
Palau,0.11
Marshall Islands,0.1
Antigua and Barbuda,0.08
Eritrea,0.08
Montserrat,0.05
Wallis and Futuna Islands,0.03
