geoareaname,value
San Marino,436.6
Republic of Korea,293.05
"China, Macao Special Administrative Region",284.62
Canada,244.18
Portugal,223.47
Russian Federation,205.51
Australia,192.74
Luxembourg,185.17
Spain,184.28
Japan,161.79
Croatia,157
Israel,153.29
Bulgaria,152.71
Italy,145.82
France,144.51
Mongolia,143.43
Switzerland,143.05
Bahamas,142.09
Aruba,137.93
Saint Kitts and Nevis,136.4
Germany,135.07
Brazil,134.99
Austria,131.75
United Kingdom of Great Britain and Northern Ireland,131.31
Peru,127.37
Slovenia,126.59
Thailand,125.32
Ireland,119.85
Montenegro,119.06
Seychelles,119.01
Iceland,103.18
Georgia,102.2
Belgium,101.1
Poland,99.62
Antigua and Barbuda,99.49
Brunei Darussalam,99.46
Turkey,98.55
New Zealand,98.24
Iran (Islamic Republic of),97.5
Romania,97.25
Malta,95.5
Panama,91.29
Slovakia,87.79
Ukraine,87.47
Cyprus,87.37
Greece,85.48
The former Yugoslav Republic of Macedonia,85.36
China,85.28
Armenia,83.96
Estonia,83.75
Costa Rica,83.55
Saudi Arabia,82.37
Latvia,81.09
Bosnia and Herzegovina,80.32
Cabo Verde,79.88
South Africa,79.82
United Arab Emirates,77.75
Denmark,76.51
Grenada,76.4
Serbia,75.51
Czechia,74.4
Kazakhstan,74.16
Argentina,73.72
Chile,73.22
Hungary,72.37
"China, Hong Kong Special Administrative Region",71.44
Qatar,71.08
Indonesia,71.07
Singapore,69.34
Kuwait,69.21
Guatemala,68.94
Namibia,68.8
Mauritius,67.31
Uruguay,66.67
Ecuador,65.54
Mexico,65.17
Saint Lucia,63.99
Netherlands,63.66
Lithuania,63.57
Lebanon,62.93
Venezuela (Bolivarian Republic of),62.54
Samoa,62.5
Belize,61.4
Vanuatu,61.33
Dominica,61.11
Malaysia,60.95
Sweden,59.86
Fiji,58.2
Tonga,57.94
Suriname,57.9
Sao Tome and Principe,56.97
Albania,56.83
Colombia,56.49
Belarus,56.36
Saint Vincent and the Grenadines,54.48
Trinidad and Tobago,54.02
Bolivia (Plurinational State of),53.62
Norway,53.54
Barbados,53.23
Oman,51.7
Morocco,50.39
Dominican Republic,48.87
Uzbekistan,47.41
El Salvador,47.26
Azerbaijan,46.88
Palau,46.79
Tunisia,46.16
Honduras,42.8
Republic of Moldova,42.5
Bhutan,41.82
Finland,39.83
Jordan,39.68
Botswana,39.22
Kyrgyzstan,38.35
Maldives,37.97
Eswatini,37.81
Sri Lanka,35.75
Jamaica,35.57
Paraguay,35.53
Philippines,33.91
State of Palestine,33.31
India,33.25
United States of America,33.03
Angola,29.27
Micronesia (Federated States of),29.05
Viet Nam,27.81
Nicaragua,26.44
Lao People's Democratic Republic,26.21
Marshall Islands,26.08
Guyana,25.4
Nigeria,21.62
Cambodia,19.47
Pakistan,18.79
Egypt,17.98
Nepal,17.71
Ghana,17.31
Mauritania,16.2
Zambia,15.6
Solomon Islands,15.49
Kenya,15.46
Bangladesh,15.22
Djibouti,14.43
Mozambique,14.39
Algeria,13.47
Lesotho,12.72
Equatorial Guinea,12.24
Timor-Leste,12.09
Côte d'Ivoire,11.76
Rwanda,11.62
Zimbabwe,11.32
Congo,11.2
Mali,10.5
Senegal,10.26
Papua New Guinea,10.16
Gambia,9.03
United Republic of Tanzania,8.46
Benin,8.25
Malawi,8.11
Sudan,8.11
Yemen,7.87
Comoros,7.74
Uganda,7.34
Guinea-Bissau,7.27
Iraq,6.77
Burkina Faso,6.37
Myanmar,5.34
Togo,5.21
Guinea,4.6
Burundi,4.58
Madagascar,4.35
Haiti,3.95
Afghanistan,3.12
Niger,3.07
South Sudan,2.4
Democratic Republic of the Congo,2.34
Chad,2.14
