geoareaname,value
Ireland,25.19
Timor-Leste,18.14
Palau,10.35
Tuvalu,8.22
Ethiopia,7.62
India,6.76
Liberia,6.66
Malta,6.55
Côte d'Ivoire,6.44
China,6.37
Rwanda,6.23
Uzbekistan,6.21
Myanmar,6.01
Lao People's Democratic Republic,5.86
Dominican Republic,5.79
Grenada,5.77
Kiribati,5.68
Viet Nam,5.51
Bangladesh,5.37
Cambodia,5.33
Czechia,5.26
Bhutan,5.12
Djibouti,4.75
Southern Asia,4.72
Micronesia,4.63
Cook Islands,4.61
Turkmenistan,4.6
Micronesia (Federated States of),4.51
Mali,4.5
Central and Southern Asia,4.46
Monaco,4.46
Romania,4.44
Seychelles,4.43
Papua New Guinea,4.41
Turkey,4.4
Philippines,4.38
Sri Lanka,4.38
Bulgaria,4.26
Cuba,4.24
Lesotho,4.21
Central African Republic,4.09
Egypt,4.08
Latvia,4.05
Panama,4.04
Bosnia and Herzegovina,3.95
Georgia,3.94
Poland,3.92
United Republic of Tanzania,3.77
The former Yugoslav Republic of Macedonia,3.77
Sweden,3.73
Slovakia,3.73
Senegal,3.71
Spain,3.71
Nicaragua,3.68
Hungary,3.68
Eastern Asia,3.68
Tajikistan,3.66
Indonesia,3.64
Costa Rica,3.63
Namibia,3.61
Mozambique,3.56
Iceland,3.53
Eastern and South-Eastern Asia,3.52
Morocco,3.48
Democratic Republic of the Congo,3.45
Asia,3.35
South-Eastern Asia,3.32
Montenegro,3.31
Mauritius,3.28
Malaysia,3.28
Bolivia (Plurinational State of),3.27
Tonga,3.14
Northern Europe,3.13
Fiji,3.11
Melanesia,3.09
Lithuania,3.08
Togo,3.06
Kenya,3
Antigua and Barbuda,2.97
Saint Kitts and Nevis,2.92
Cameroon,2.9
Eastern Africa,2.89
United Arab Emirates,2.88
Croatia,2.87
Armenia,2.86
Cyprus,2.64
Oceania (exc. Australia and New Zealand),2.64
Eritrea,2.59
Pakistan,2.59
Thailand,2.58
Guinea-Bissau,2.45
Sudan,2.43
New Zealand,2.42
Andorra,2.4
Northern Africa,2.38
Guyana,2.37
Republic of Korea,2.37
Portugal,2.34
Eswatini,2.31
Turks and Caicos Islands,2.3
Kyrgyzstan,2.27
New Caledonia,2.26
Uganda,2.22
Samoa,2.16
United States of America,2.15
Albania,2.14
Benin,2.13
Nepal,2.12
Colombia,2.12
Southern Europe,2.11
Anguilla,2.09
Northern Africa and Western Asia,2.09
Slovenia,2.06
Guatemala,2.03
Western Asia,2.03
Central America,2
Guinea,1.99
Netherlands,1.96
South Sudan,1.95
Northern America,1.93
Peru,1.92
Estonia,1.91
Mexico,1.9
Europe and Northern America,1.89
Honduras,1.89
El Salvador,1.79
United Kingdom of Great Britain and Northern Ireland,1.75
Algeria,1.73
Saint Vincent and the Grenadines,1.72
"China, Hong Kong Special Administrative Region",1.67
Europe,1.67
Greenland,1.66
Paraguay,1.62
Argentina,1.62
World,1.6
Central Asia,1.56
Sao Tome and Principe,1.56
Saudi Arabia,1.53
Ghana,1.5
Australia and New Zealand,1.49
Caribbean,1.48
Saint Lucia,1.47
Germany,1.47
Chile,1.4
Oceania,1.38
Australia,1.36
Least Developed Countries (LDCs),1.35
Cayman Islands,1.32
Serbia,1.27
Japan,1.26
Bermuda,1.22
Small island developing States (SIDS),1.21
Gambia,1.19
Polynesia,1.17
Denmark,1.16
Italy,1.14
Chad,1.12
Western Europe,1.1
Gabon,1.08
Nauru,1.07
Israel,1.06
Landlocked developing countries (LLDCs),1.04
Luxembourg,0.97
Americas,0.93
Burkina Faso,0.88
Norway,0.8
Iraq,0.8
Belgium,0.79
Africa,0.78
Belize,0.7
French Polynesia,0.69
State of Palestine,0.65
France,0.64
Barbados,0.6
Mongolia,0.56
Jamaica,0.55
Western Africa,0.53
Marshall Islands,0.45
Austria,0.43
Singapore,0.33
Madagascar,0.31
Sub-Saharan Africa,0.24
Bahrain,0.21
Mauritania,0.18
Switzerland,0.13
Greece,0.13
Congo,0.09
Niger,0.05
Uruguay,0.02
Nigeria,-0.02
Canada,-0.03
Southern Africa,-0.04
Tunisia,-0.05
South Africa,-0.08
Montserrat,-0.09
Haiti,-0.1
Zambia,-0.14
Malawi,-0.15
Cabo Verde,-0.22
Trinidad and Tobago,-0.23
Maldives,-0.24
Solomon Islands,-0.26
Somalia,-0.31
Republic of Moldova,-0.33
Kazakhstan,-0.34
Eastern Europe,-0.34
Liechtenstein,-0.35
Oman,-0.36
Finland,-0.41
San Marino,-0.42
Azerbaijan,-0.54
Vanuatu,-0.6
Curaçao,-0.67
Qatar,-0.92
Puerto Rico,-0.92
Zimbabwe,-0.93
Aruba,-0.97
Middle Africa,-1.02
Ecuador,-1.34
British Virgin Islands,-1.48
Jordan,-1.52
Latin America and the Caribbean,-1.53
Democratic People's Republic of Korea,-1.64
Brunei Darussalam,-1.8
Kuwait,-2.12
Sint Maarten (Dutch part)	,-2.22
Angola,-2.47
Iran (Islamic Republic of),-2.5
Comoros,-2.52
South America,-2.87
Russian Federation,-2.91
Syrian Arab Republic,-2.93
Dominica,-3.06
Burundi,-3.31
Lebanon,-3.46
Botswana,-3.51
Suriname,-3.53
Belarus,-3.84
Bahamas,-4.24
Brazil,-4.59
Afghanistan,-4.64
Libya,-6.56
Venezuela (Bolivarian Republic of),-7.48
Ukraine,-9.32
Equatorial Guinea,-12.59
Sierra Leone,-22.33
"China, Macao Special Administrative Region",-23.18
Yemen,-30.97
