geoareaname,value
World,"163,778,418,030.36"
Asia,"93,841,368,812.99"
Eastern and South-Eastern Asia,"70,585,583,942.01"
Eastern Asia,"60,320,857,198.1"
China,"51,607,888,042.76"
Europe and Northern America,"48,151,146,785.12"
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)","37,109,457,010.57"
Americas,"34,686,848,322.52"
Europe,"25,978,599,776.31"
Northern America,"22,172,547,063.48"
United States of America,"19,702,774,862.77"
Central and Southern Asia,"17,497,809,224.86"
Southern Asia,"16,119,297,542.48"
Latin America and the Caribbean,"12,514,301,306.9"
India,"11,633,852,313.96"
South-Eastern Asia,"10,145,766,524.61"
South America,"9,603,012,751.35"
Western Europe,"8,848,661,148.06"
Northern Africa and Western Asia,"7,498,284,409.65"
Africa,"6,968,138,639.28"
Eastern Europe,"6,580,815,403.57"
Japan,"6,025,823,648.09"
Western Asia,"5,876,935,940.48"
Southern Europe,"5,559,525,743.5"
Sub-Saharan Africa,"5,227,829,918.15"
Brazil,"5,210,225,727.53"
Northern Europe,"4,989,597,604.45"
Least Developed Countries (LDCs),"4,067,710,643.68"
Landlocked developing countries (LLDCs),"3,557,991,686.17"
Germany,"3,538,513,944.26"
Indonesia,"3,088,926,315.09"
United Kingdom of Great Britain and Northern Ireland,"2,897,448,045.38"
France,"2,763,047,563.86"
Russian Federation,"2,724,866,150.61"
Republic of Korea,"2,558,211,652.58"
Central America,"2,516,698,592.86"
Canada,"2,469,772,270.08"
Turkey,"2,432,120,413.31"
Oceania,"2,303,462,620.41"
Italy,"2,293,678,169.66"
Australia and New Zealand,"2,241,932,140.26"
Iran (Islamic Republic of),"2,149,673,531.56"
Mexico,"2,101,372,018.41"
Australia,"2,020,539,986.26"
Spain,"1,999,679,924.51"
Thailand,"1,953,356,453.41"
Western Africa,"1,925,695,702.93"
Northern Africa,"1,740,308,730.87"
Viet Nam,"1,731,199,219.71"
Small island developing States (SIDS),"1,515,623,692.98"
Eastern Africa,"1,408,356,220.19"
Central Asia,"1,378,511,706.69"
Malaysia,"1,355,303,508.22"
Poland,"1,280,428,435.76"
Southern Africa,"1,201,555,333.37"
Pakistan,"1,192,135,871.91"
Ukraine,"1,007,602,400.88"
Argentina,"966,787,814.38"
South Africa,"937,768,579.2"
Colombia,"906,398,801.32"
Nigeria,"881,625,626.76"
Egypt,"879,614,802.93"
Netherlands,"876,826,492.77"
Philippines,"868,392,081.8"
United Arab Emirates,"862,681,486.58"
Singapore,"789,439,765.35"
Saudi Arabia,"742,233,594.61"
Bangladesh,"732,892,227.26"
Middle Africa,"692,222,699.33"
Romania,"637,645,975.44"
Kazakhstan,"618,103,438.1"
Chile,"587,239,635.28"
Greece,"557,947,702.01"
Peru,"548,041,010.41"
Austria,"533,641,262.78"
Belgium,"512,913,026.45"
Switzerland,"507,267,661.77"
Slovakia,"469,571,855.96"
Sweden,"464,729,998.45"
Venezuela (Bolivarian Republic of),"436,758,235.12"
Finland,"387,505,032.26"
Norway,"386,785,095.21"
Uzbekistan,"375,231,426.56"
Kuwait,"361,264,048.38"
Israel,"347,010,634.28"
Portugal,"346,062,394.73"
Democratic Republic of the Congo,"313,943,208.14"
Ecuador,"309,141,654.72"
Kenya,"282,138,015.36"
Hungary,"280,531,445.62"
Denmark,"274,717,079.1"
Morocco,"251,992,236.41"
Algeria,"235,303,972.14"
Turkmenistan,"230,839,074.67"
Uruguay,"227,236,087"
New Zealand,"221,392,209.3"
Uganda,"202,436,246.13"
Ireland,"201,201,203.44"
Lithuania,"197,641,520.83"
Iraq,"195,657,110.44"
Ghana,"193,752,133.19"
Sudan,"191,945,519.79"
Angola,"180,696,882.23"
South Sudan,"175,095,712.48"
Lebanon,"172,829,057.64"
Bulgaria,"170,553,486.88"
Guyana,"170,384,172.27"
Cuba,"158,827,999.01"
Mali,"157,997,637.09"
Botswana,"153,179,158.82"
Myanmar,"151,484,467.67"
Sri Lanka,"151,283,390.28"
Nepal,"149,778,946.67"
United Republic of Tanzania,"148,930,499.12"
Paraguay,"139,003,574.41"
Burkina Faso,"138,083,482.64"
Tunisia,"135,066,554.82"
Dominican Republic,"126,818,306.91"
Niger,"121,509,322.89"
Jordan,"118,960,261.93"
Luxembourg,"116,451,668.37"
Zambia,"114,730,067.53"
Azerbaijan,"114,638,826.89"
Syrian Arab Republic,"112,841,950.61"
Mozambique,"108,290,331.43"
Guatemala,"107,467,839.77"
Croatia,"105,293,896.63"
Cambodia,"104,001,171.24"
Kyrgyzstan,"93,530,755.38"
Benin,"91,416,183.82"
Slovenia,"91,120,975.78"
Oman,"90,802,948.89"
Lao People's Democratic Republic,"87,816,025.44"
Cameroon,"87,627,030.05"
Bolivia (Plurinational State of),"86,311,991.41"
Latvia,"85,447,883.9"
Afghanistan,"81,775,900.94"
Mongolia,"78,653,166.16"
Sierra Leone,"76,601,688.5"
Estonia,"73,438,788.98"
Senegal,"73,229,527.53"
Costa Rica,"72,501,540.68"
Rwanda,"71,256,759.5"
Somalia,"70,345,377.22"
Georgia,"67,713,639.72"
El Salvador,"65,518,486.16"
Qatar,"65,083,077.62"
Albania,"61,827,810.89"
Yemen,"61,377,843.17"
Tajikistan,"60,807,138.17"
Honduras,"60,671,057"
Panama,"57,822,835.94"
Bosnia and Herzegovina,"55,692,600.79"
Guinea,"55,181,372.76"
Mauritius,"51,378,130.09"
Democratic People's Republic of Korea,"50,280,829.69"
Lesotho,"49,780,036.38"
Libya,"46,385,696.37"
Cyprus,"46,318,821.87"
Nicaragua,"45,863,535.65"
Chad,"44,928,308.68"
Armenia,"44,813,216.93"
Jamaica,"44,373,657.7"
Côte d'Ivoire,"44,221,479.21"
Malawi,"42,305,011.62"
Papua New Guinea,"41,666,226.56"
Bahrain,"40,589,525.91"
Madagascar,"40,366,545.13"
Eritrea,"39,297,156.89"
Togo,"37,690,876.95"
Namibia,"35,093,194.83"
Burundi,"33,501,716.01"
Montenegro,"26,227,969.54"
Eswatini,"25,734,521.22"
Haiti,"23,602,881.49"
Central African Republic,"22,809,217.25"
Congo,"22,186,246.13"
Malta,"21,994,650.13"
Mauritania,"21,001,987.31"
