geoareaname,timeperiod,value
Czechia,2015,27.31
Slovakia,2015,24.68
Slovenia,2015,23.4
Mauritius,2015,21.75
Hungary,2015,21.41
Bulgaria,2015,19.71
The former Yugoslav Republic of Macedonia,2015,19.43
Poland,2015,19.32
Germany,2015,19.3
Estonia,2015,18.82
Turkey,2015,18.66
Tunisia,2015,18.49
Italy,2015,18.35
Romania,2015,18.18
Eastern Asia (excluding Japan),2015,17.4
Republic of Korea,2015,17.3
Thailand,2015,16.98
Portugal,2015,16.91
Iran (Islamic Republic of),2015,16.82
Japan,2015,16.66
Croatia,2015,16.63
Malaysia,2015,16.51
Eastern and South-Eastern Asia,2015,16.39
Serbia,2015,16.14
Mexico,2015,16.04
El Salvador,2015,16.03
Austria,2015,15.98
Viet Nam,2015,15.69
Pakistan,2015,15.52
Lithuania,2015,15.19
Honduras,2015,14.95
Russian Federation,2015,14.3
Ghana,2015,14
Indonesia,2015,13.71
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",2015,13.67
South-Eastern Asia,2015,13.62
Finland,2015,13.47
Europe and Northern America,2015,13.43
World,2015,13.43
Developing regions,2015,13.31
Latvia,2015,12.98
Belgium,2015,12.95
Northern Africa (exc. Sudan),2015,12.92
Guatemala,2015,12.82
Latin America and the Caribbean,2015,12.64
Switzerland,2015,12.59
Ukraine,2015,12.58
Brazil,2015,12.54
Spain,2015,12.45
Paraguay,2015,12.42
Malta,2015,12.42
Central and Southern Asia,2015,12.27
State of Palestine,2015,12.26
France,2015,12.21
Southern Asia,2015,12.2
Caucasus and Central Asia,2015,12.18
Colombia,2015,12.11
Denmark,2015,11.94
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",2015,11.9
Northern Africa and Western Asia,2015,11.89
Israel,2015,11.49
Ireland,2015,11.36
Egypt,2015,11.22
South Africa,2015,11.2
New Zealand,2015,11.19
Chile,2015,11.14
Singapore,2015,11.11
Uruguay,2015,11.07
Ecuador,2015,11
United States of America,2015,10.96
Myanmar,2015,10.87
Costa Rica,2015,10.86
Bolivia (Plurinational State of),2015,10.47
Sweden,2015,10.41
Iceland,2015,10.24
Dominican Republic,2015,9.86
Republic of Moldova,2015,9.62
United Kingdom of Great Britain and Northern Ireland,2015,9.59
Canada,2015,9.54
Netherlands,2015,9.45
Greece,2015,9.26
Albania,2015,9.25
Peru,2015,9.16
Norway,2015,8.61
Australia,2015,8.23
Saudi Arabia,2015,8.22
Australia and New Zealand,2015,8.16
Trinidad and Tobago,2015,8.09
Small island developing States (SIDS),2015,8.08
Belize,2015,8.01
Least Developed Countries (LDCs),2015,7.93
Armenia,2015,7.85
Cyprus,2015,7.79
Barbados,2015,7.64
Kyrgyzstan,2015,7.39
Seychelles,2015,7.3
Sub-Saharan Africa (inc. Sudan),2015,7.08
Mongolia,2015,7.06
Sub-Saharan Africa,2015,6.96
Qatar,2015,6.95
Montenegro,2015,6.68
Landlocked developing countries (LLDCs),2015,6.62
Madagascar,2015,6.58
Suriname,2015,6.54
Bhutan,2015,6.48
Jamaica,2015,6.41
Kazakhstan,2015,6.41
Senegal,2015,6.15
Azerbaijan,2015,4.92
Mali,2015,4.78
Luxembourg,2015,4.6
Mozambique,2015,4.06
Oceania (exc. Australia and New Zealand),2015,3.24
