geoareaname,timeperiod,value
World,2015,"32,295"
Developing regions,2015,"18,622.62"
Asia,2015,"17,009.57"
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",2015,"12,240.4"
Eastern and South-Eastern Asia,2015,"12,129.7"
Eastern Asia,2015,"10,852.33"
Europe and Northern America,2015,"10,618.57"
Eastern Asia (excluding Japan),2015,"9,711.67"
China,2015,"9,042.2"
Americas,2015,"7,203.43"
Northern America,2015,"5,547.04"
Europe,2015,"5,071.59"
United States of America,2015,"4,998.01"
Central and Southern Asia,2015,"3,265.69"
Southern Asia,2015,"2,861.66"
Eastern Europe,2015,"2,286.78"
Northern Africa and Western Asia,2015,"2,087.84"
India,2015,"2,067.72"
Latin America and the Caribbean,2015,"1,656.95"
Western Asia,2015,"1,616.81"
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",2015,"1,505.75"
Russian Federation,2015,"1,470.23"
Western Europe,2015,"1,377.14"
South-Eastern Asia,2015,"1,277.4"
Japan,2015,"1,142"
Africa,2015,"1,140.58"
South America,2015,"1,052.3"
Southern Europe,2015,800.3
Germany,2015,730.1
Sub-Saharan Africa (inc. Sudan),2015,686.27
Sub-Saharan Africa,2015,670.89
Northern Europe,2015,608.04
Republic of Korea,2015,586.54
Iran (Islamic Republic of),2015,554.48
Canada,2015,549.88
Landlocked developing countries (LLDCs),2015,537.89
Saudi Arabia,2015,533.24
Central America,2015,496.1
Northern Africa,2015,470.42
Northern Africa (exc. Sudan),2015,455.7
Brazil,2015,451.25
Caucasus and Central Asia,2015,449.58
Mexico,2015,442.84
Indonesia,2015,442.49
Southern Africa,2015,439.05
South Africa,2015,429.17
Oceania,2015,425.72
Australia and New Zealand,2015,412.75
Central Asia,2015,404.59
United Kingdom of Great Britain and Northern Ireland,2015,390.07
Australia,2015,381.62
Italy,2015,331.03
Turkey,2015,317.69
France,2015,290.74
Poland,2015,282.98
Thailand,2015,248.27
Spain,2015,247.32
Least Developed Countries (LDCs),2015,234.83
Kazakhstan,2015,227.85
Malaysia,2015,221.08
Egypt,2015,199.52
Ukraine,2015,192.68
Argentina,2015,192.15
United Arab Emirates,2015,182.92
Viet Nam,2015,170.75
Netherlands,2015,156.42
Pakistan,2015,147.65
Small island developing States (SIDS),2015,140.05
Venezuela (Bolivarian Republic of),2015,137.75
Iraq,2015,134.71
Algeria,2015,131.48
Philippines,2015,104.23
Western Africa,2015,104.03
Czechia,2015,100.09
Uzbekistan,2015,97.35
Belgium,2015,92.91
Caribbean,2015,89.26
Kuwait,2015,87.79
Chile,2015,82.15
Qatar,2015,81.08
Colombia,2015,72.8
Bangladesh,2015,71.18
Turkmenistan,2015,70.09
Romania,2015,70.04
Oman,2015,68.23
Greece,2015,65.14
Nigeria,2015,64.67
Israel,2015,62.6
Austria,2015,62.44
Eastern Africa,2015,61.83
Morocco,2015,55.55
Belarus,2015,53.83
Peru,2015,49.64
Portugal,2015,47.39
Libya,2015,46.7
"China, Hong Kong Special Administrative Region",2015,45.84
Serbia,2015,45.63
Singapore,2015,44.74
Bulgaria,2015,44.65
Hungary,2015,42.88
Finland,2015,42.45
Ecuador,2015,38.19
Switzerland,2015,37.44
Sweden,2015,37.24
Norway,2015,36.98
Ireland,2015,35.49
Middle Africa,2015,35.21
Denmark,2015,32.17
New Zealand,2015,31.7
Azerbaijan,2015,31.6
Cuba,2015,31.11
Bahrain,2015,31.01
Syrian Arab Republic,2015,30.49
Slovakia,2015,29.93
Democratic People's Republic of Korea,2015,27.25
Tunisia,2015,26.54
Myanmar,2015,24.74
Trinidad and Tobago,2015,24.6
Jordan,2015,24.46
Bosnia and Herzegovina,2015,23.78
Lebanon,2015,23.32
Dominican Republic,2015,21.8
Angola,2015,20.77
Sri Lanka,2015,19.82
Bolivia (Plurinational State of),2015,19.22
Mongolia,2015,19.03
Estonia,2015,16.07
Croatia,2015,15.95
Sudan,2015,15.79
Guatemala,2015,15.49
Ghana,2015,14.94
Kenya,2015,14.88
Oceania (exc. Australia and New Zealand),2015,13.6
Slovenia,2015,13.22
Zimbabwe,2015,12.97
Kyrgyzstan,2015,12.27
United Republic of Tanzania,2015,12.19
Yemen,2015,12
Ethiopia,2015,11.9
Panama,2015,11.81
Lithuania,2015,10.8
Côte d'Ivoire,2015,10.19
Honduras,2015,9.78
Georgia,2015,9.53
Luxembourg,2015,9.29
Republic of Moldova,2015,8.96
Cambodia,2015,8.25
The former Yugoslav Republic of Macedonia,2015,8.16
Curaçao,2015,7.78
Jamaica,2015,7.68
Nepal,2015,7.59
Senegal,2015,7.46
Botswana,2015,7.36
Costa Rica,2015,7.19
Latvia,2015,7.18
El Salvador,2015,6.77
Cyprus,2015,6.66
Uruguay,2015,6.59
Brunei Darussalam,2015,6.39
Cameroon,2015,6.2
Benin,2015,5.9
Paraguay,2015,5.85
Nicaragua,2015,5.7
Mozambique,2015,5.61
Armenia,2015,5.16
Gabon,2015,4.93
Albania,2015,4.88
Tajikistan,2015,4.52
Mauritius,2015,4.33
Haiti,2015,4.13
Namibia,2015,3.98
Zambia,2015,3.6
Montenegro,2015,3.11
Congo,2015,2.97
Democratic Republic of the Congo,2015,2.78
Togo,2015,2.68
Niger,2015,2.56
Iceland,2015,2.38
Suriname,2015,2.31
Malta,2015,1.77
Gibraltar,2015,1.15
South Sudan,2015,1.12
Eritrea,2015,0.68
Polynesia,2015,null
Micronesia,2015,null
Melanesia,2015,null
