geoareaname,timeperiod,type_of_mobile_technology,value
Colombia,2015,AL3G,100
Gibraltar,2015,AL3G,100
Singapore,2015,AL3G,100
Angola,2015,AL3G,100
Switzerland,2015,AL3G,100
Belgium,2015,AL3G,100
Monaco,2015,AL3G,100
Cayman Islands,2015,AL3G,100
Malta,2015,AL3G,100
Suriname,2015,AL3G,100
Maldives,2015,AL3G,100
Italy,2015,AL3G,100
Saint Vincent and the Grenadines,2015,AL3G,100
Poland,2015,AL3G,100
Estonia,2015,AL3G,100
Saint Kitts and Nevis,2015,AL3G,100
United Arab Emirates,2015,AL3G,100
Denmark,2015,AL3G,99.99
Sweden,2015,AL3G,99.99
Lithuania,2015,AL3G,99.98
Bulgaria,2015,AL3G,99.95
"China, Macao Special Administrative Region",2015,AL3G,99.9
Finland,2015,AL3G,99.9
Romania,2015,AL3G,99.9
Japan,2015,AL3G,99.9
United States of America,2015,AL3G,99.9
Armenia,2015,AL3G,99.9
Northern America,2015,AL3G,99.75
United Kingdom of Great Britain and Northern Ireland,2015,AL3G,99.6
Slovenia,2015,AL3G,99.5
Spain,2015,AL3G,99.4
Greece,2015,AL3G,99.3
Canada,2015,AL3G,99.3
Eastern Asia (excluding Japan and China),2015,AL3G,99.14
Portugal,2015,AL3G,99.1
Croatia,2015,AL3G,99.06
Norway,2015,AL3G,99
Australia,2015,AL3G,99
Iceland,2015,AL3G,99
Israel,2015,AL3G,99
Liechtenstein,2015,AL3G,99
Hungary,2015,AL3G,99
Georgia,2015,AL3G,99
Luxembourg,2015,AL3G,99
Bermuda,2015,AL3G,99
Puerto Rico,2015,AL3G,99
Costa Rica,2015,AL3G,99
Czechia,2015,AL3G,99
France,2015,AL3G,99
Albania,2015,AL3G,99
Jordan,2015,AL3G,99
Republic of Korea,2015,AL3G,99
Anguilla,2015,AL3G,99
Republic of Moldova,2015,AL3G,99
"China, Hong Kong Special Administrative Region",2015,AL3G,99
Netherlands,2015,AL3G,99
Australia and New Zealand,2015,AL3G,98.84
Dominican Republic,2015,AL3G,98.8
The former Yugoslav Republic of Macedonia,2015,AL3G,98.07
Barbados,2015,AL3G,98
Nauru,2015,AL3G,98
South Africa,2015,AL3G,98
Qatar,2015,AL3G,98
Antigua and Barbuda,2015,AL3G,98
Austria,2015,AL3G,98
Bahamas,2015,AL3G,98
New Zealand,2015,AL3G,98
Bahrain,2015,AL3G,97.9
Egypt,2015,AL3G,97.8
New Caledonia,2015,AL3G,97.4
Azerbaijan,2015,AL3G,97.3
Serbia,2015,AL3G,97.29
Montenegro,2015,AL3G,97.2
Kuwait,2015,AL3G,97.2
Gabon,2015,AL3G,97
Saudi Arabia,2015,AL3G,97
Lebanon,2015,AL3G,97
Thailand,2015,AL3G,97
Andorra,2015,AL3G,97
Bosnia and Herzegovina,2015,AL3G,96
Faroe Islands,2015,AL3G,96
Timor-Leste,2015,AL3G,96
Belarus,2015,AL3G,95.7
Germany,2015,AL3G,95.7
Eastern Asia,2015,AL3G,95.6
Lesotho,2015,AL3G,95.6
Eastern Asia (excluding Japan),2015,AL3G,95.23
Oceania,2015,AL3G,95.22
Turkey,2015,AL3G,95.03
Oman,2015,AL3G,95
Ireland,2015,AL3G,95
Latvia,2015,AL3G,95
Mongolia,2015,AL3G,95
Saint Helena,2015,AL3G,95
China,2015,AL3G,95
Southern Africa,2015,AL3G,94.79
