Country,CoastlineLength,Date
CAN,"202,080 km",2014
IDN,"54,716 km",2014
GRL,"44,087 km",2014
RUS,"37,653 km",2014
PHL,"36,289 km",2014
JPN,"29,751 km",2014
AUS,"25,760 km",2014
NOR,"25,148 km",2014
USA,"19,924 km",2014
ATA,"17,968 km",2014
NZL,"15,134 km",2014
CHN,"14,500 km",2014
GRC,"13,676 km",2014
GBR,"12,429 km",2014
MEX,"9,330 km",2014
ITA,"7,600 km",2014
BRA,"7,491 km",2014
DNK,"7,314 km",2014
TUR,"7,200 km",2014
IND,"7,000 km",2014
CHL,"6,435 km",2014
HRV,"6,268 km",2014
FSM,"6,112 km",2014
SLB,"5,313 km",2014
PNG,"5,152 km",2014
ARG,"4,989 km",2014
ISL,"4,970 km",2014
ESP,"4,964 km",2014
FRA,"4,853 km",2014
MDG,"4,828 km",2014
MYS,"4,675 km",2014
EST,"3,794 km",2014
CUB,"3,735 km",2014
SJM,"3,587 km",2014
BHS,"3,542 km",2014
VNM,"3,444 km",2014
THA,"3,219 km",2014
SWE,"3,218 km",2014
COL,"3,208 km",2014
SOM,"3,025 km",2014
ATF,"2,948.4 km",2014
VEN,"2,800 km",2014
ZAF,"2,798 km",2014
UKR,"2,782 km",2014
SAU,"2,640 km",2014
VUT,"2,528 km",2014
PYF,"2,525 km",2014
PRK,"2,495 km",2014
PAN,"2,490 km",2014
MOZ,"2,470 km",2014
EGY,"2,450 km",2014
IRN,"2,440 km",2014
PER,"2,414 km",2014
KOR,"2,413 km",2014
DEU,"2,389 km",2014
NCL,"2,254 km",2014
ECU,"2,237 km",2014
ERI,"2,234 km",2014
OMN,"2,092 km",2014
MMR,"1,930 km",2014
YEM,"1,906 km",2014
MAR,"1,835 km",2014
PRT,"1,793 km",2014
HTI,"1,771 km",2014
LBY,"1,770 km",2014
AGO,"1,600 km",2014
NAM,"1,572 km",2014
TWN,"1,566.3 km",2014
PLW,"1,519 km",2014
MNP,"1,482 km",2014
IRL,"1,448 km",2014
TZA,"1,424 km",2014
LKA,"1,340 km",2014
ARE,"1,318 km",2014
CRI,"1,290 km",2014
DOM,"1,288 km",2014
FLK,"1,288 km",2014
FIN,"1,250 km",2014
TUN,"1,148 km",2014
KIR,"1,143 km",2014
FJI,"1,129 km",2014
FRO,"1,117 km",2014
ESH,"1,110 km",2014
PAK,"1,046 km",2014
JAM,"1,022 km",2014
DZA,998 km,2014
CPV,965 km,2014
NIC,910 km,2014
GAB,885 km,2014
NGA,853 km,2014
SDN,853 km,2014
HND,832 km,2014
MRT,754 km,2014
HKG,733 km,2014
TLS,706 km,2014
IOT,698 km,2014
URY,660 km,2014
CYP,648 km,2014
MDV,644 km,2014
BGD,580 km,2014
LBR,579 km,2014
QAT,563 km,2014
GHA,539 km,2014
KEN,536 km,2014
SEN,531 km,2014
,,
CIV,515 km,2014
PRI,501 km,2014
KWT,499 km,2014
LVA,498 km,2014
SYC,491 km,2014
GUY,459 km,2014
NLD,451 km,2014
KHM,443 km,2014
POL,440 km,2014
TON,419 km,2014
WSM,403 km,2014
CMR,402 km,2014
SLE,402 km,2014
GTM,400 km,2014
TCA,389 km,2014
BLZ,386 km,2014
SUR,386 km,2014
MHL,370.4 km,2014
CUW,364 km,2014
TTO,362 km,2014
ALB,362 km,2014
BGR,354 km,2014
GNB,350 km,2014
COM,340 km,2014
GIN,320 km,2014
DJI,314 km,2014
GEO,310 km,2014
SLV,307 km,2014
GNQ,296 km,2014
MNE,293.5 km,2014
ISR,273 km,2014
MLT,252.81 km,2014
LBN,225 km,2014
ROU,225 km,2014
SYR,193 km,2014
SGP,193 km,2014
MUS,177 km,2014
COG,169 km,2014
BHR,161 km,2014
BRN,161 km,2014
IMN,160 km,2014
CYM,160 km,2014
LCA,158 km,2014
ATG,153 km,2014
DMA,148 km,2014
CXR,138.9 km,2014
KNA,135 km,2014
WLF,129 km,2014
GUM,125.5 km,2014
,,
BEN,121 km,2014
GRD,121 km,2014
SPM,120 km,2014
COK,120 km,2014
ASM,116 km,2014
BMU,103 km,2014
HMD,101.9 km,2014
TKL,101 km,2014
BRB,97 km,2014
LTU,90 km,2014
VCT,84 km,2014
GMB,80 km,2014
VGB,80 km,2014
,,
JEY,70 km,2014
ABW,68.5 km,2014
BEL,66.5 km,2014
NIU,64 km,2014
AIA,61 km,2014
MAF,58.9 km,2014
IRQ,58 km,2014
TGO,56 km,2014
PCN,51 km,2014
GGY,50 km,2014
SVN,46.6 km,2014
MAC,41 km,2014
,,
MSR,40 km,2014
COD,37 km,2014
NFK,32 km,2014
NRU,30 km,2014
BVT,29.6 km,2014
CCK,26 km,2014
JOR,26 km,2014
TUV,24 km,2014
BIH,20 km,2014
WAK,19.3 km,2014
GIB,12 km,2014
MCO,4.1 km,2014
TKM,0,2014
ETH,0,2014
SWZ,0,2014
BFA,0,2014
VAT,0,2014
TJK,0,2014
AFG,0,2014
SVK,0,2014
MWI,0,2014
CAF,0,2014
LIE,0,2014
LUX,0,2014
AND,0,2014
RWA,0,2014
MDA,0,2014
UZB,0,2014
NPL,0,2014
ZWE,0,2014
HUN,0,2014
MKD,0,2014
SRB,0,2014
PRY,0,2014
BWA,0,2014
BOL,0,2014
AZE,0,2014
LSO,0,2014
CZE,0,2014
SMR,0,2014
MNG,0,2014
LAO,0,2014
ARM,0,2014
MLI,0,2014
TCD,0,2014
AUT,0,2014
UGA,0,2014
NER,0,2014
BLR,0,2014
CHE,0,2014
BDI,0,2014
BTN,0,2014
ZMB,0,2014
KAZ,0,2014
KGZ,0,2014
SSD,0,2014
