Country,12.2.2 Consumption,9.c.1 3G Coverage,9.b.1 Proportion of Tech Value,9.5.1 research spending per GDP,9.4.1 CO2 Emission,9.2.2 percentage of manufacturing employment,9.2.1. Manufacutring add value,9.1.2 Transportation Volume,8.10.1 number of ATM,8.6.1 not in education or employment,8.4.1 material footprint,8.2.1 Annual growth per employee,8.1.1 Annual Growth Rate,4.b.1 Scholars,4.2.2 Organized Learning,4.1.1 Reading Proficiency,2.2.2 Malnutritiohn,2.1.2 Food insecurities,2.1.1 Undernourishment,Poverty Rate (Goal)
COD,1001433955,20,?,0.02,2.78,?,79.34,8827461464,2.34,?,313943208.1,3.4,3.45,3.46,?,?,?,?,28.2,96.1
TZA,1011825264,85,6.83,?,12.19,?,60.36,26157151052,8.46,?,148930499.1,3.6,3.77,7.67,?,?,4.5,?,32.3,86
AFG,390636658.2,40,9.51,?,?,?,74.55,12433264116,3.12,?,81775900.94,-3.9,-4.64,7.24,?,?,?,48.3,23,84.5
MDG,348366215.6,61,3.56,?,?,6.58,68.71,9989413295,4.35,?,40366545.13,1.1,0.31,2.89,?,?,?,?,42.3,81.3
MOZ,405517267,50,10.89,0.34,5.61,4.06,53.73,7714508639,14.39,?,108290331.4,3.4,3.56,2.63,?,?,?,?,26.6,80.6
RWA,197613484.2,88.01,6.66,?,?,?,39.62,5585309734,11.62,?,71256759.5,5.9,6.23,3.87,?,?,7.7,?,41.1,80.1
LAO,365989079.2,65,?,?,?,?,161.74,4341239033,26.21,?,87816025.44,5.2,5.86,11.2,55.21,?,?,?,17.1,79.3
BDI,110538218.2,0,2.57,?,?,?,31.69,2470485650,4.58,?,33501716.01,-7,-3.31,1.09,?,?,?,?,?,78.1
NER,411323114.5,10,22.7,?,2.56,?,27.76,5681740002,3.07,?,121509322.9,-0.3,0.05,1.25,?,?,?,?,11.3,74.9
BGD,2477464636,71,9.47,?,71.18,?,202.33,76468608857,15.22,?,732892227.3,4.7,5.37,13.94,?,?,?,?,15.1,74.2
MWI,345566965.5,32,11.34,?,?,?,55.41,4792415671,8.11,?,42305011.62,-0.5,-0.15,1.98,?,?,4.5,?,25.9,72.8
GIN,268963593,39.1,?,?,?,?,73.42,5238584961,4.6,?,55181372.76,-2.5,1.99,2.44,?,?,?,?,17.5,71
ZWE,307621973,55.1,?,?,12.97,?,97.67,2949306366,11.32,?,19620654.59,-1.2,-0.93,3.21,?,?,5.6,?,44.7,69.4
LBR,97520107.77,50,?,?,?,?,21.42,850060453.2,?,?,15446659.59,-2.7,6.66,0.92,84.25,?,?,?,42.8,68.6
CAF,90938244.94,23,9.25,?,?,?,90.46,1332121882,?,?,22809217.25,4.6,4.09,1.07,?,?,?,?,58.6,67.7
GNB,40666196.79,?,?,?,?,?,72.73,768325628.5,7.27,?,?,1.8,2.45,0.44,?,?,?,?,28.3,67.1
TCD,217934278.1,13,?,?,?,?,117.09,7030232386,2.14,?,44928308.68,-1.7,1.12,1.21,?,?,13,?,32.5,66.2
