Country,Precipitation
STP,3200
PNG,"3,142"
SLB,"3,028"
CRI,"2,926"
MYS,"2,875"
BRN,"2,722"
IDN,"2,702"
PAN,"2,692"
BGD,"2,666"
COL,"2,612"
FJI,"2,592"
SLE,"2,526"
SGP,"2,497"
LBR,"2,391"
NIC,"2,391"
GUY,"2,387"
GRD,"2,350"
PHL,"2,348"
SUR,"2,331"
SYC,"2,330"
LCA,"2,301"
TTO,"2,200"
BTN,"2,200"
GNQ,"2,156"
MMR,"2,091"
ECU,"2,087"
DMA,"2,083"
PRI,"2,054"
JAM,"2,051"
MUS,"2,041"
GTM,"1,996"
HND,"1,976"
MDV,"1,972"
ISL,"1,940"
KHM,"1,904"
VEN,"1,875"
UKR,"1,875"
LAO,"1,834"
GAB,"1,831"
VNM,"1,821"
BRA,"1,782"
PER,"1,738"
NZL,"1,732"
SLV,"1,724"
LKA,"1,712"
BLZ,"1,705"
JPN,"1,668"
GIN,"1,651"
COG,"1,646"
THA,"1,622"
CMR,"1,604"
VCT,"1,583"
GNB,"1,577"
COD,"1,543"
CHE,"1,537"
CHL,"1,522"
MDG,"1,513"
TLS,"1,500"
NPL,"1,500"
ALB,"1,485"
HTI,"1,440"
KNA,"1,427"
BRB,"1,422"
NOR,"1,414"
DOM,"1,410"
CIV,"1,348"
CAF,"1,343"
CUB,"1,335"
BHS,"1,292"
KOR,"1,274"
BDI,"1,274"
URY,"1,265"
GBR,"1,220"
RWA,"1,212"
GHA,"1,187"
MWI,"1,181"
UGA,"1,180"
TGO,"1,168"
SVN,"1,162"
NGA,"1,150"
BOL,"1,146"
PRY,"1,130"
IRL,"1,118"
HRV,"1,113"
AUT,"1,110"
IND,"1,083"
TZA,"1,071"
PRK,"1,054"
BEN,"1,039"
MOZ,"1,032"
ATG,"1,030"
BIH,"1,028"
GEO,"1,026"
ZMB,"1,020"
AGO,"1,010"
LUX,934
COM,900
FRA,867
PRT,854
ETH,848
BEL,847
GMB,836
ITA,832
SVK,824
SWZ,788
LSO,788
NLD,778
MEX,752
BFA,748
USA,715
DNK,703
DEU,700
TJK,691
SEN,686
CZE,677
LBN,661
ZWE,657
LTU,656
GRC,652
CHN,645
LVA,641
ROU,637
ESP,636
KEN,630
EST,626
SWE,624
MKD,619
BLR,618
BGR,608
POL,600
TUR,593
ARG,591
HUN,589
ARM,562
MLT,560
CAN,537
FIN,536
AUS,534
KGZ,533
CYP,498
ZAF,495
PAK,494
RUS,460
MDA,450
AZE,447
ISR,435
SDN,416
BWA,416
ERI,384
MAR,346
AFG,327
TCD,322
NAM,285
SOM,282
MLI,282
SYR,252
KAZ,250
MNG,241
CPV,228
IRN,228
DJI,220
IRQ,216
TUN,207
UZB,206
YEM,167
TKM,161
NER,151
OMN,125
KWT,121
JOR,111
MRT,92
DZA,89
BHR,83
ARE,78
QAT,74
SAU,59
LBY,56
EGY,51
