Precipitation,Poverty Rate Goal,Population,Area sq mi,Pop Density per sq mi,Arable ,Climate,CoastlineLength
3200.0,upperHalf,193413.0,1001.0,193.2,6.25,2.0,?
3.142,upperHalf,5670544.0,462840.0,12.3,0.46,2.0,5.152
3.028,upperHalf,552438.0,28450.0,19.4,0.64,2.0,5.313
2.926,lowerHalf,4075261.0,51100.0,79.8,4.41,2.0,1.29
2.875,lowerHalf,24385858.0,329750.0,74.0,5.48,2.0,4.675
2.702,upperHalf,245452739.0,1919440.0,127.9,11.32,2.0,54.716
2.692,upperHalf,3191319.0,78200.0,40.8,7.36,2.0,2.49
2.666,upperHalf,147365352.0,144000.0,1023.4,62.11,2.0,580.0
2.612,upperHalf,43593035.0,1138910.0,38.3,2.42,2.0,3.208
2.592,lowerHalf,905949.0,18270.0,49.6,10.95,2.0,1.129
2.526,upperHalf,6005250.0,71740.0,83.7,6.98,2.0,402.0
2.391,upperHalf,3042004.0,111370.0,27.3,3.95,2.0,579.0
2.391,upperHalf,5570129.0,129494.0,43.0,15.94,2.0,910.0
2.348,upperHalf,89468677.0,300000.0,298.2,18.95,2.0,36.289
2.33,lowerHalf,81541.0,455.0,179.2,2.22,2.0,491.0
2.2,upperHalf,2279723.0,47000.0,48.5,3.09,2.0,0.0
2.156,lowerHalf,540109.0,28051.0,19.3,4.63,2.0,296.0
2.091,upperHalf,47382633.0,678500.0,69.8,15.19,2.0,1.93
2.087,upperHalf,13547510.0,283560.0,47.8,5.85,2.0,2.237
2.051,lowerHalf,2758124.0,10991.0,250.9,16.07,2.0,1.022
2.041,lowerHalf,1240827.0,2040.0,608.3,49.26,2.0,177.0
1.996,lowerHalf,12293545.0,108890.0,112.9,12.54,2.0,400.0
1.976,upperHalf,7326496.0,112090.0,65.4,9.55,2.0,832.0
1.972,lowerHalf,359008.0,300.0,1196.7,13.33,2.0,644.0
1.94,lowerHalf,299388.0,103000.0,2.9,0.07,3.0,4.97
1.904,upperHalf,13881427.0,181040.0,76.7,20.96,2.0,443.0
1.875,upperHalf,25730435.0,912050.0,28.2,2.95,2.0,2.8
1.875,lowerHalf,46710816.0,603700.0,77.4,56.21,3.0,2.782
1.834,upperHalf,6368481.0,236800.0,26.9,3.8,2.0,0.0
1.831,lowerHalf,1424906.0,267667.0,5.3,1.26,2.0,885.0
1.821,upperHalf,84402966.0,329560.0,256.1,19.97,2.0,3.444
1.782,lowerHalf,188078227.0,8511965.0,22.1,6.96,2.0,7.491
1.738,upperHalf,28302603.0,1285220.0,22.0,2.89,1.5,2.414
1.724,upperHalf,6822378.0,21040.0,324.3,31.85,2.0,307.0
